"X","Y","site"
2.625,43.475,147
2.675,43.475,148
2.725,43.475,149
2.775,43.475,150
2.825,43.475,151
2.875,43.475,152
2.925,43.475,153
2.975,43.475,154
3.025,43.475,155
3.075,43.475,156
3.125,43.475,157
3.175,43.475,158
3.225,43.475,159
3.275,43.475,160
3.325,43.475,161
3.375,43.475,162
3.425,43.475,163
3.475,43.475,164
3.525,43.475,165
3.575,43.475,166
3.625,43.475,167
3.675,43.475,168
3.725,43.475,169
3.775,43.475,170
3.825,43.475,171
4.175,43.475,172
4.225,43.475,173
4.275,43.475,174
2.425,43.525,175
2.475,43.525,176
2.525,43.525,177
2.575,43.525,178
2.625,43.525,179
2.675,43.525,180
2.725,43.525,181
2.775,43.525,182
2.825,43.525,183
2.875,43.525,184
2.925,43.525,185
2.975,43.525,186
3.025,43.525,187
3.075,43.525,188
3.125,43.525,189
3.175,43.525,190
3.225,43.525,191
3.275,43.525,192
3.325,43.525,193
3.375,43.525,194
3.425,43.525,195
3.475,43.525,196
3.525,43.525,197
3.575,43.525,198
3.625,43.525,199
3.675,43.525,200
3.725,43.525,201
3.775,43.525,202
3.825,43.525,203
3.875,43.525,204
3.925,43.525,205
4.175,43.525,206
4.225,43.525,207
4.275,43.525,208
2.425,43.575,209
2.475,43.575,210
2.525,43.575,211
2.575,43.575,212
2.625,43.575,213
2.675,43.575,214
2.725,43.575,215
2.775,43.575,216
2.825,43.575,217
2.875,43.575,218
2.925,43.575,219
2.975,43.575,220
3.025,43.575,221
3.075,43.575,222
3.125,43.575,223
3.175,43.575,224
3.225,43.575,225
3.275,43.575,226
3.325,43.575,227
3.375,43.575,228
3.425,43.575,229
3.475,43.575,230
3.525,43.575,231
3.575,43.575,232
3.625,43.575,233
3.675,43.575,234
3.725,43.575,235
3.775,43.575,236
3.825,43.575,237
3.875,43.575,238
3.925,43.575,239
3.975,43.575,240
4.025,43.575,241
4.075,43.575,242
4.125,43.575,243
4.175,43.575,244
4.225,43.575,245
4.275,43.575,246
2.425,43.625,247
2.475,43.625,248
2.525,43.625,249
2.575,43.625,250
2.625,43.625,251
2.675,43.625,252
2.725,43.625,253
2.775,43.625,254
2.825,43.625,255
2.875,43.625,256
2.925,43.625,257
2.975,43.625,258
3.025,43.625,259
3.075,43.625,260
3.125,43.625,261
3.175,43.625,262
3.225,43.625,263
3.275,43.625,264
3.325,43.625,265
3.375,43.625,266
3.425,43.625,267
3.475,43.625,268
3.525,43.625,269
3.575,43.625,270
3.625,43.625,271
3.675,43.625,272
3.725,43.625,273
3.775,43.625,274
3.825,43.625,275
3.875,43.625,276
3.925,43.625,277
3.975,43.625,278
4.025,43.625,279
4.075,43.625,280
4.125,43.625,281
4.175,43.625,282
4.225,43.625,283
4.275,43.625,284
2.425,43.675,285
2.475,43.675,286
2.525,43.675,287
2.575,43.675,288
2.625,43.675,289
2.675,43.675,290
2.725,43.675,291
2.775,43.675,292
2.825,43.675,293
2.875,43.675,294
2.925,43.675,295
2.975,43.675,296
3.025,43.675,297
3.075,43.675,298
3.125,43.675,299
3.175,43.675,300
3.225,43.675,301
3.275,43.675,302
3.325,43.675,303
3.375,43.675,304
3.425,43.675,305
3.475,43.675,306
3.525,43.675,307
3.575,43.675,308
3.625,43.675,309
3.675,43.675,310
3.725,43.675,311
3.775,43.675,312
3.825,43.675,313
3.875,43.675,314
3.925,43.675,315
3.975,43.675,316
4.025,43.675,317
4.075,43.675,318
4.125,43.675,319
4.175,43.675,320
4.225,43.675,321
4.275,43.675,322
2.425,43.725,323
2.475,43.725,324
2.525,43.725,325
2.575,43.725,326
2.625,43.725,327
2.675,43.725,328
2.725,43.725,329
2.775,43.725,330
2.825,43.725,331
2.875,43.725,332
2.925,43.725,333
2.975,43.725,334
3.025,43.725,335
3.075,43.725,336
3.125,43.725,337
3.175,43.725,338
3.225,43.725,339
3.275,43.725,340
